{'20000': 0.12000036239624023}
{'25000': 0.16100096702575684}
{'30000': 0.19498515129089355}
{'35000': 0.20099496841430664}
{'40000': 0.2499997615814209}
{'45000': 0.27605175971984863}
{'50000': 0.38706254959106445}
{'55000': 0.3560523986816406}
{'60000': 0.520014762878418}
{'65000': 0.4490237236022949}
{'70000': 0.49405336380004883}
{'75000': 0.5330641269683838}
{'80000': 0.5889956951141357}
{'85000': 0.5850017070770264}
{'90000': 0.585949182510376}
{'95000': 0.6169984340667725}
{'100000': 0.6600003242492676}
{'105000': 0.7129998207092285}
{'110000': 0.8850183486938477}
{'115000': 0.918994665145874}
{'120000': 0.9229991436004639}
{'125000': 1.0720014572143555}
{'130000': 0.918997049331665}
{'135000': 0.8630495071411133}
{'140000': 0.9444336891174316}
{'145000': 1.1150014400482178}
{'150000': 1.1539995670318604}
{'155000': 1.3000068664550781}
{'160000': 1.6890008449554443}
{'165000': 1.4069979190826416}
{'170000': 1.3739991188049316}
{'175000': 1.3330049514770508}
{'180000': 1.264998435974121}
{'185000': 1.6280012130737305}
{'190000': 1.4780006408691406}
{'195000': 1.3846323490142822}
{'200000': 1.3590097427368164}
{'205000': 1.501948356628418}
{'210000': 1.6180005073547363}
{'215000': 1.580932378768921}
{'220000': 1.48600172996521}
{'225000': 1.5670523643493652}
{'230000': 1.6937355995178223}
{'235000': 1.876971960067749}
{'240000': 1.7100708484649658}
{'245000': 1.7150626182556152}
{'250000': 1.917067289352417}
{'255000': 1.9693284034729004}
{'260000': 2.0210671424865723}
{'265000': 2.099010944366455}
{'270000': 1.9609463214874268}
{'275000': 2.1900041103363037}
{'280000': 2.141000270843506}
{'285000': 2.272947072982788}
{'290000': 2.269005298614502}
{'295000': 2.381051778793335}
{'300000': 2.383992910385132}
{'305000': 3.05400013923645}
{'310000': 2.714998483657837}
{'315000': 2.49306321144104}
{'320000': 2.5560693740844727}
{'325000': 2.543079137802124}
{'330000': 2.4780516624450684}
{'335000': 2.6549997329711914}
{'340000': 2.5800156593322754}
{'345000': 2.5440545082092285}
{'350000': 2.683055877685547}
{'355000': 2.5590009689331055}
{'360000': 2.5670006275177}
{'365000': 2.8610053062438965}
{'370000': 2.8290657997131348}
{'375000': 3.020996570587158}
{'380000': 3.041001319885254}
{'385000': 4.2699995040893555}
{'390000': 3.470999002456665}
{'395000': 3.439950704574585}
{'400000': 3.5179991722106934}
{'405000': 3.400998830795288}
{'410000': 3.879995822906494}
{'415000': 3.4920003414154053}
{'420000': 3.7899999618530273}
{'425000': 3.4590001106262207}
{'430000': 3.6510047912597656}
{'435000': 3.8400001525878906}
{'440000': 4.425009489059448}
{'445000': 3.7400028705596924}
{'450000': 4.241024971008301}
{'455000': 3.940995931625366}
{'460000': 3.7559993267059326}
{'465000': 3.6729464530944824}
{'470000': 3.750999689102173}
{'475000': 3.916975259780884}
{'480000': 4.429003477096558}
{'485000': 3.845010280609131}
{'490000': 3.6500167846679688}
{'495000': 3.8329532146453857}
